QuestionID,QuestionText,BegDate,EndDate,Responses,isValid
USOPOR.40-802.Q17,Which (1940) Presidential candidate do you think would handle our country's foreign affairs better--(Franklin D.) Roosevelt or (Wendell) Willkie?,07/20/1940,07/20/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '55'}, {'ResponseText': 'Willkie', 'ResponsePct': '28'}, {'ResponseText': 'Other (Vol.)', 'ResponsePct': '1'}, {'ResponseText': 'Undecided', 'ResponsePct': '17'}]",True
USROPER.40-021.R07,Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt?,09/1/1940,09/30/1940,"[{'ResponseText': 'In times like these it is absolutely essential to have a man like Roosevelt for President', 'ResponsePct': '28'}, {'ResponseText': 'There may be some reasons against having Roosevelt as President for another four years, but on the whole it is the best thing to do', 'ResponsePct': '27'}, {'ResponseText': 'While Roosevelt has done some good things, the country would be better off under Willkie for the next four years', 'ResponsePct': '21'}, {'ResponseText': 'The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country', 'ResponsePct': '17'}, {'ResponseText': ""Don't know"", 'ResponsePct': '7'}]",False
USGALLUP.092840.RK08,"Regardless of how you yourself plan to vote, who do you think will be elected President?",09/19/1940,09/27/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '57'}, {'ResponseText': 'Willkie', 'ResponsePct': '28'}, {'ResponseText': 'No opinion', 'ResponsePct': '16'}]",False
USGALLUP.40-209.QT03B,"Which of these four statements comes closest to expressing your own opinion of Mr. Roosevelt... A) In times like these it is absolutely essential to have a man like Roosevelt for President, B) There may be some reasons against having Roosevelt as President for another four years but on the whole it is the best thing to do, C) While Roosevelt has done some good things, the country would be better off under Willkie for the next four years, D) The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country?",09/5/1940,09/10/1940,"[{'ResponseText': 'Absolutely essential to have a man like Roosevelt for President', 'ResponsePct': '27'}, {'ResponseText': 'Be some reasons against having Roosevelt but on the whole it is the best thing to do', 'ResponsePct': '28'}, {'ResponseText': 'Country would be better off under Willkie', 'ResponsePct': '21'}, {'ResponseText': 'Re-election of Mr. Roosevelt would be a very bad thing for the country', 'ResponsePct': '19'}, {'ResponseText': ""Don't know"", 'ResponsePct': '5'}]",False
USROPER.40-019.R13B,Which of the following most nearly represents your opinion of Mr. Willkie?,07/1/1940,07/31/1940,"[{'ResponseText': 'He is the best man the Republicans could have chosen, but it is better for the country to keep Mr. Roosevelt in office', 'ResponsePct': '68'}, {'ResponseText': 'He may be all right as a person, but the Republicans made a mistake not to have chosen a different candidate', 'ResponsePct': '13'}, {'ResponseText': 'He is thoroughly unsuited for office, and his election would be a calamity', 'ResponsePct': '6'}, {'ResponseText': ""Don't know"", 'ResponsePct': '13'}]",False
USGALLUP.40-221.Q02A,"If the Presidential election were held today, would you vote for Roosevelt or Willkie?",10/25/1940,10/29/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '48'}, {'ResponseText': 'Willkie', 'ResponsePct': '44'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Would not vote', 'ResponsePct': '1'}, {'ResponseText': 'Refuse to answer', 'ResponsePct': '2'}, {'ResponseText': 'Undecided', 'ResponsePct': '5'}]",True
USGALLUP.071240.RK09,If President Roosevelt runs for a third term on the Democratic ticket against Wendell Willkie on the Republican ticket how would you vote?,07/5/1940,07/10/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '48'}, {'ResponseText': 'Willkie', 'ResponsePct': '42'}, {'ResponseText': 'No opinion', 'ResponsePct': '10'}]",True
USROPER.40-021.R15AA,Do you think that Roosevelt and Willkie agree... that the government should economize on everything except preparedness... or do you think they disagree?,09/1/1940,09/30/1940,"[{'ResponseText': 'Agree', 'ResponsePct': '29'}, {'ResponseText': 'Disagree', 'ResponsePct': '35'}, {'ResponseText': ""Don't know"", 'ResponsePct': '36'}]",False
USROPER.40-021.R15AB,Do you think that Roosevelt and Willkie agree... that most New Deal reforms should be continued... or do you think they disagree?,09/1/1940,09/30/1940,"[{'ResponseText': 'Agree', 'ResponsePct': '30'}, {'ResponseText': 'Disagree', 'ResponsePct': '42'}, {'ResponseText': ""Don't know"", 'ResponsePct': '28'}]",False
USGALLUP.40-216.QKT02D,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",10/21/1940,10/26/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '23'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '61'}, {'ResponseText': 'Other', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '16'}]",False
USGALLUP.40-219.QK02B,"Which one of these four statements comes closest to expressing your own opinion about Mr. Roosevelt? A) In times like these it is absolutely essential to have a man like Roosevelt for President. B) There may be some reasons against having Roosevelt as President for another four years but on the whole it is the best thing to do. C) While Roosevelt has done some good things, the country would be better off under Willkie for the next four years. D) The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country.",10/26/1940,10/31/1940,"[{'ResponseText': 'Times like these it is absolutely essential to have a man like Roosevelt', 'ResponsePct': '32'}, {'ResponseText': 'On the whole it is the best thing to do', 'ResponsePct': '20'}, {'ResponseText': 'Country would be better off under Willkie', 'ResponsePct': '22'}, {'ResponseText': 'Re-election of Mr. Roosevelt would be a very bad thing for the country', 'ResponsePct': '21'}, {'ResponseText': ""Don't know"", 'ResponsePct': '4'}]",False
USROPER.40-020.R08,Do you feel that (the 1940 election between Roosevelt and Willkie) will be a close election?,08/1/1940,08/31/1940,"[{'ResponseText': 'Yes', 'ResponsePct': '63'}, {'ResponseText': 'No', 'ResponsePct': '26'}, {'ResponseText': ""Don't know"", 'ResponsePct': '10'}]",False
USGALLUP.40-202.QK03,"If the Presidential election were held today, would you vote for the Republican candidate, Willkie, or the Democratic candidate, Roosevelt?",07/18/1940,07/23/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '43'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '44'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '1'}, {'ResponseText': 'Undecided', 'ResponsePct': '12'}]",True
USROPER.40-020.R02,Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt?,08/1/1940,08/31/1940,"[{'ResponseText': 'In times like these, it is absolutely essential to have a man like Roosevelt for President', 'ResponsePct': '27'}, {'ResponseText': 'There may be some reasons against having Roosevelt as President for another four years, but on the whole it is the best thing to do', 'ResponsePct': '27'}, {'ResponseText': 'While Roosevelt has done some good things, the country would be better off under Willkie for the next four years', 'ResponsePct': '22'}, {'ResponseText': 'The reelection of Mr. Roosevelt for another four years would be a very bad thing for the country', 'ResponsePct': '16'}, {'ResponseText': ""Don't know"", 'ResponsePct': '8'}]",False
USPR.61.R05,"Which of the following Republicans would stand the best chance of beating Roosevelt, or Roosevelt's choice (for President)?",06/3/1940,06/6/1940,"[{'ResponseText': 'Dewey', 'ResponsePct': '47'}, {'ResponseText': 'Taft', 'ResponsePct': '11'}, {'ResponseText': 'Willkie', 'ResponsePct': '11'}, {'ResponseText': 'Vandenberg', 'ResponsePct': '9'}, {'ResponseText': 'Someone else', 'ResponsePct': '3'}, {'ResponseText': ""Don't know"", 'ResponsePct': '19'}]",False
USGALLUP.40-221.Q06,"Which Presidential candidate do you think would do the most in reducing unemployment--Roosevelt, or Willkie?",10/25/1940,10/29/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '41'}, {'ResponseText': 'Willkie', 'ResponsePct': '40'}, {'ResponseText': 'No choice', 'ResponsePct': '19'}]",True
USPR.60.R04,"Which of the following Republicans would stand the best chance of beating Roosevelt, or Roosevelt's choice (for President)?... Dewey, Taft, Vandenberg, Willkie.",05/23/1940,05/27/1940,"[{'ResponseText': 'Dewey', 'ResponsePct': '46'}, {'ResponseText': 'Taft', 'ResponsePct': '12'}, {'ResponseText': 'Vandenberg', 'ResponsePct': '9'}, {'ResponseText': 'Willkie', 'ResponsePct': '8'}, {'ResponseText': 'Someone else (vol.)', 'ResponsePct': '2'}, {'ResponseText': ""Don't know"", 'ResponsePct': '23'}]",False
USGALLUP.40-211.QKT03C,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",09/22/1940,09/27/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '21'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '64'}, {'ResponseText': 'Other', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '15'}]",False
USGALLUP.40-219.QT02C,"Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt? A) In times like these it is absolutely essential to have a man like Roosevelt for President. B) There may be some reasons against having Roosevelt as President for another four years but on the whole it is the best thing to do. C) While Roosevelt has done some good things, the country would be better off under Willkie for the next four years. D) The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country.",10/26/1940,10/31/1940,"[{'ResponseText': 'Times like these it is absolutely essential to have a man like Roosevelt', 'ResponsePct': '28'}, {'ResponseText': 'On the whole it is the best thing to do', 'ResponsePct': '23'}, {'ResponseText': 'Country would be better off under Willkie', 'ResponsePct': '21'}, {'ResponseText': 'Re-election of Mr. Roosevelt would be a very bad thing for the country', 'ResponsePct': '23'}, {'ResponseText': ""Don't know"", 'ResponsePct': '4'}]",False
USGALLUP.090340.RK09A,Whom do you favor for President--Franklin Roosevelt or Wendell Willkie?,08/23/1940,08/29/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '46'}, {'ResponseText': 'Willkie', 'ResponsePct': '44'}, {'ResponseText': 'No opinion', 'ResponsePct': '10'}]",True
USROPER.40-021.R08C,What sort of thing could make you decide to vote for Willkie (instead of Roosevelt in the 1940 presidential election)?,09/1/1940,09/30/1940,"[{'ResponseText': 'I intend to vote for Willkie', 'ResponsePct': '1'}, {'ResponseText': 'If he could keep us out of war If Roosevelt favors or declares war (sends men to Europe), the United States gets into war', 'ResponsePct': '3'}, {'ResponseText': 'If Roosevelt assumes dictatorship', 'ResponsePct': '1'}, {'ResponseText': 'If Roosevelt should die or withdraw', 'ResponsePct': '2'}, {'ResponseText': 'If European war ends', 'ResponsePct': '2'}, {'ResponseText': 'If times were normal, conditions improved', 'ResponsePct': '1'}, {'ResponseText': 'If he had the necessary experience in national and international affairs', 'ResponsePct': '2'}, {'ResponseText': 'If he could better conditions--help common people', 'ResponsePct': '1'}, {'ResponseText': 'If Roosevelt changes or goes too far in present policies', 'ResponsePct': '1'}, {'ResponseText': ""Don't know anything (enough) about Willkie"", 'ResponsePct': '2'}, {'ResponseText': 'Third term issue', 'ResponsePct': '1'}, {'ResponseText': 'Will never vote for Willkie, am a Democrat', 'ResponsePct': '2'}, {'ResponseText': 'Nothing', 'ResponsePct': '36'}, {'ResponseText': 'Other', 'ResponsePct': '9'}, {'ResponseText': 'Refused to answer', 'ResponsePct': '1'}, {'ResponseText': ""Don't know/Don't know of anything"", 'ResponsePct': '33'}]",False
USGALLUP.110440.RK02A,"If the presidential election were held today, would you vote for Franklin Roosevelt or Wendell Willkie?",10/26/1940,10/31/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '52'}, {'ResponseText': 'Willkie', 'ResponsePct': '48'}]",True
USGALLUP.40-209.QK03A,"Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt... A) In times like these it is absolutely essential to have a man like Roosevelt for President, B) There may be some reasons against having Roosevelt as President for another four years but on the whole it is the best thing to do, C) While Roosevelt has done some good things, the country would be better off under Willkie for the next four years, D) The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country?",09/5/1940,09/10/1940,"[{'ResponseText': 'Absolutely essential to have a man like Roosevelt for President', 'ResponsePct': '28'}, {'ResponseText': 'May be some reasons against having Roosevelt but on the whole it is the best thing to do', 'ResponsePct': '27'}, {'ResponseText': 'Country would be better off under Willkie', 'ResponsePct': '22'}, {'ResponseText': 'Re-election of Mr. Roosevelt for another four years would be a very bad thing for the country', 'ResponsePct': '19'}, {'ResponseText': ""Don't know"", 'ResponsePct': '4'}]",False
USROPER.40-019.R12,"If Mr. Roosevelt does not run (for President) next fall, which, as you feel now, do you think you would vote for, the Democratic candidate or Mr. Willkie?",07/1/1940,07/31/1940,"[{'ResponseText': 'Democrat', 'ResponsePct': '26'}, {'ResponseText': 'Mr. Willkie', 'ResponsePct': '47'}, {'ResponseText': 'Other', 'ResponsePct': '1'}, {'ResponseText': ""Won't vote"", 'ResponsePct': '5'}, {'ResponseText': ""Wouldn't answer"", 'ResponsePct': '3'}, {'ResponseText': ""Don't know"", 'ResponsePct': '18'}]",False
USGALLUP.111040.R05,"If the United States should get into the war, which man would you prefer to have as President--Roosevelt or Willkie?",10/24/1940,10/29/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '55'}, {'ResponseText': 'Willkie', 'ResponsePct': '36'}, {'ResponseText': 'No opinion', 'ResponsePct': '9'}]",False
USGALLUP.40-206.Q5B,"HOW SURE ARE YOU THAT YOU WILL VOTE THIS WAY (FOR ROOSEVELT, WILLKIE, OTHER, FOR PRESIDENT THIS FALL 1940)?",08/11/1940,08/16/1940,"[{'ResponseText': 'VERY SURE', 'ResponsePct': '75'}, {'ResponseText': 'FAIRLY SURE', 'ResponsePct': '20'}, {'ResponseText': 'NOT AT ALL SURE', 'ResponsePct': '5'}]",False
USROPER.40-021.R15AD,Do you think that Roosevelt and Willkie agree... how to increase business confidence... or do you think they disagree?,09/1/1940,09/30/1940,"[{'ResponseText': 'Agree', 'ResponsePct': '10'}, {'ResponseText': 'Disagree', 'ResponsePct': '52'}, {'ResponseText': ""Don't know"", 'ResponsePct': '37'}]",False
USPR.62.R03,"If Wendell Willke runs for President on the Republican ticket against Roosevelt, which one would you prefer?",06/15/1940,06/18/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '29'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '56'}, {'ResponseText': ""Don't know"", 'ResponsePct': '15'}]",True
USGALLUP.080540.RT02,"If the presidential election were held today, would you vote for The Republican candidate, Wendell Willkie, or the Democratic candidate, Franklin Roosevelt?",07/21/1940,07/26/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '44'}, {'ResponseText': 'Willkie', 'ResponsePct': '43'}, {'ResponseText': 'No opinion', 'ResponsePct': '13'}]",True
USGALLUP.40-208.Q04,Which candidate do you think will win (the Presidential election) in your state?,09/5/1940,09/10/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '37'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '46'}, {'ResponseText': 'Socialist (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Other', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '17'}]",False
USGALLUP.220.Q02B,"As you feel today, would you say you were a little more for Willkie, or a little more for Roosevelt?",10/24/1940,10/29/1940,"[{'ResponseText': 'Willkie (including leaners)', 'ResponsePct': '47'}, {'ResponseText': 'Roosevelt (including leaners)', 'ResponsePct': '51'}, {'ResponseText': 'No choice', 'ResponsePct': '3'}, {'ResponseText': 'Would not vote', 'ResponsePct': '1'}]",True
USROPER.40-020.R03,Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie?,08/1/1940,08/31/1940,"[{'ResponseText': 'Willkie is just the man the country needs for president during the next four years', 'ResponsePct': '12'}, {'ResponseText': ""Even though Willkie hasn't as much political and international experience as he needs, he would make a better President than Roosevelt"", 'ResponsePct': '24'}, {'ResponseText': ""Willkie is probably an honest and capable business man, but he hasn't had the right experience to be President in times like these"", 'ResponsePct': '36'}, {'ResponseText': 'The election of a man like Mr. Willkie at any time would be a very bad thing for the country', 'ResponsePct': '9'}, {'ResponseText': ""Don't know"", 'ResponsePct': '19'}]",False
USGALLUP.40-220.Q02A,"If the Presidential election were held today, would you vote for Willkie or Roosevelt?",10/24/1940,10/29/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '45'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '48'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Would not vote', 'ResponsePct': '1'}, {'ResponseText': 'Refuse to answer', 'ResponsePct': '2'}, {'ResponseText': 'Undecided', 'ResponsePct': '5'}]",True
USGALLUP.40-207.QT09A,"As it looks now, do you intend to vote for Roosevelt, or for Willkie, this fall?",08/23/1940,08/29/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '42'}, {'ResponseText': 'Willkie', 'ResponsePct': '43'}, {'ResponseText': 'Refuse to answer', 'ResponsePct': '3'}, {'ResponseText': 'Undecided', 'ResponsePct': '11'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '1'}]",True
USROPER.40-023.R5,"Now that the (1940) election is over, how do you feel about the outcome and its effect on the country? Which of these statements comes closest to describing what you think?",11/1/1940,11/30/1940,"[{'ResponseText': ""Roosevelt's reelection was the best thing that could have happened to the country"", 'ResponsePct': '48'}, {'ResponseText': 'Although it was better for the country to reelect Roosevelt, Willkie would probably have been all right, too', 'ResponsePct': '15'}, {'ResponseText': 'It would have been better to elect Willkie, but we will probably get along all right with Roosevelt', 'ResponsePct': '22'}, {'ResponseText': ""Roosevelt's reelection was a very bad thing for the country"", 'ResponsePct': '10'}, {'ResponseText': ""Don't know"", 'ResponsePct': '5'}]",False
USROPER.40-022.R06AC,"(Asked only of those who expect to vote for Roosevelt, Willkie or 'Other' in November 1940) (If any of these things happened between now and election day, would you be inclined to change your vote for President?)... A message from Roosevelt to Congress asking for a declaration of war",10/1/1940,10/31/1940,"[{'ResponseText': 'Yes', 'ResponsePct': '7'}, {'ResponseText': 'No', 'ResponsePct': '86'}, {'ResponseText': ""Don't know"", 'ResponsePct': '7'}]",False
USGALLUP.090440.RK06,"If England is defeated between now and election time and it looks as though the United States might have to fight Germany, which candidate would you prefer for President--Willkie or Roosevelt?",08/10/1940,08/16/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '52'}, {'ResponseText': 'Willkie', 'ResponsePct': '38'}, {'ResponseText': 'No opinion', 'ResponsePct': '10'}]",False
USROPER.40-021.R15BF,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... On the best way to solve unemployment,09/1/1940,09/30/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '38'}, {'ResponseText': 'Willkie', 'ResponsePct': '50'}, {'ResponseText': ""Don't know"", 'ResponsePct': '12'}]",False
USGALLUP.40-216.QT02A,"If the Presidential election were held today, would you vote for Roosevelt or Willkie?",10/21/1940,10/26/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '47'}, {'ResponseText': 'Willkie', 'ResponsePct': '44'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Socialist (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Communist', 'ResponsePct': '*'}, {'ResponseText': 'Refuse to answer', 'ResponsePct': '1'}, {'ResponseText': 'Undecided', 'ResponsePct': '7'}]",True
USGALLUP.100640.RK02,"Whom do you favor for President, Franklin Roosevelt or Wendell Willkie?",09/28/1940,10/3/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '50'}, {'ResponseText': 'Willkie', 'ResponsePct': '40'}, {'ResponseText': 'Third party candidate', 'ResponsePct': '1'}, {'ResponseText': 'No opinion', 'ResponsePct': '9'}]",True
USGALLUP.40-198.QJV12D,"If Wendell Willkie runs for President on the Republican ticket against President Roosevelt running for a third term on the Democratic ticket, which one would you prefer?",06/13/1940,06/18/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '30'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '53'}, {'ResponseText': 'Undecided', 'ResponsePct': '17'}]",True
USGALLUP.40-208.Q02,"As it looks now, do you intend to vote for Roosevelt, or for Willkie, this fall?",09/5/1940,09/10/1940,"[{'ResponseText': 'Roosevelt', 'ResponsePct': '43'}, {'ResponseText': 'Willkie', 'ResponsePct': '42'}, {'ResponseText': 'Socialist (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Other (vol.)', 'ResponsePct': '*'}, {'ResponseText': 'Refuse to answer', 'ResponsePct': '3'}, {'ResponseText': 'Undecided', 'ResponsePct': '12'}]",True
USGALLUP.40-214.QKT06,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",10/7/1940,10/15/1940,"[{'ResponseText': 'Willkie', 'ResponsePct': '22'}, {'ResponseText': 'Roosevelt', 'ResponsePct': '64'}, {'ResponseText': 'Other', 'ResponsePct': '*'}, {'ResponseText': 'Undecided', 'ResponsePct': '14'}]",False
